"Exposure ID","Exposure Name","Phenotype Name","Estimate","Standard Error","P-value","FDR"
"LBXBCD","Cadmium (ug/L)","LBXGLU",-0.0289423511546081,0.0117611877595989,0.0226075033705322,0.156520202367613
"LBXBPB","Lead (ug/dL)","LBXGLU",-0.0516268725164276,0.016774032043648,0.0057075368393966,0.0644136300446188
"LBXTHG","Mercury, total (ug/L)","LBXGLU",NA,NA,NA,NA
"LBXIHG","Mercury, inorganic (ug/L)","LBXGLU",NA,NA,NA,NA
"LBXCOT","Cotinine (ng/mL)","LBXGLU",0.00349319452122491,0.0163309451139138,0.832687971955491,0.952495955536949
"URXUBA","Barium, urine (ng/mL)","LBXGLU",0.022481524696043,0.0373190436407406,0.553348362915097,0.760252533396394
"URXUBE","Beryllium, urine (ng/mL)","LBXGLU",0.0114785367633325,0.0149306947932145,0.450579530480085,0.710532673767941
"URXUCD","Cadmium, urine (ng/mL)","LBXGLU",-0.0502039118834392,0.0370984623031022,0.190361360892451,0.463069387390473
"URXUCO","Cobalt, urine (ng/mL)","LBXGLU",0.00544576324705905,0.0236442935617289,0.820071651972057,0.945776065777992
"URXUCS","Cesium, urine (ng/mL)","LBXGLU",-0.0445784154368129,0.0426583982680644,0.307899304283874,0.579143929486334
"URXUMO","Molybdenum, urine (ng/mL)","LBXGLU",-0.0262044444765773,0.0378005858293406,0.495762514149427,0.718628231519353
"URXUPB","Lead, urine (ng/mL)","LBXGLU",-0.0509326639706643,0.0388158059160228,0.203627845325544,0.466278254513564
"URXUPT","Platinum, urine (ng/mL)","LBXGLU",-0.0337099958406225,0.0141323030182105,0.0265651197932926,0.156520202367613
"URXUSB","Antimony, urine (ng/mL)","LBXGLU",0.00602234703639702,0.0394822582705861,0.880222618985363,0.963870750024006
"URXUTL","Thallium, urine (ng/mL)","LBXGLU",-0.0866543924968276,0.0460817191615158,0.0739893332003798,0.282058052335972
"URXUTU","Tungsten, urine (ng/mL)","LBXGLU",0.00159887143800755,0.0249808211345282,0.949572417960427,0.982685931110243
"URXUUR","Uranium, urine (ng/mL)","LBXGLU",0.00141132210608238,0.0439597396025073,0.975284644570976,0.987788293860347
"LBXRBF","Folate, RBC (ng/mL RBC)","LBXGLU",0.0290606788462242,0.0219169906729431,0.199101371763806,0.466278254513564
"LBXB12","Vitamin B12, serum (pg/mL)","LBXGLU",0.0236559449002759,0.0146411706828256,0.121081242607639,0.382616726640139
"LBXFOL","Folate, serum (ng/mL)","LBXGLU",-0.018791193010003,0.0177012054551167,0.300484489143522,0.572006617887669
"URXUHG","Mercury, urine (ng/mL)","LBXGLU",NA,NA,NA,NA
"URXUIO","Iodine, urine (ng/mL)","LBXGLU",0.0574832583669112,0.0435184876018891,0.228078920839279,0.493450864621574
"LBXVID","Vitamin D (ng/mL)","LBXGLU",-0.143071102878226,0.0337168214867807,0.00382459652604769,0.0489000964351973
"LBXPFOA","Perfluorooctanoic acid","LBXGLU",-0.0656940330370469,0.0723068812020877,0.398612916567745,0.66326149781166
"LBXPFOS","Perfluorooctane sulfonic acid","LBXGLU",-0.0063406411522272,0.063381381131611,0.923571898105047,0.982685931110243
"LBXPFHS","Perfluorohexane sulfonic acid","LBXGLU",-0.00837722719091256,0.073454211597477,0.912921147962206,0.981234975360739
"LBXEPAH","2-(N-ethyl-PFOSA) acetate","LBXGLU",0.062455257533818,0.0533474108665113,0.286096581828531,0.565040749111349
"LBXMPAH","2-(N-methyl-PFOSA) acetate","LBXGLU",0.0296877037661688,0.070210079632563,0.687146683552843,0.833581170280486
"LBXPFDE","Perfluorodecanoic acid","LBXGLU",-0.0394306423161428,0.0427140180758584,0.391549970196824,0.66326149781166
"LBXPFHP","Perfluoroheptanoic acid","LBXGLU",-0.0311891639114035,0.0228800716797228,0.221767420642562,0.486656284187846
"LBXPFNA","Perfluorononanoic acid","LBXGLU",-0.0227796218191819,0.0489334013853036,0.657974827999796,0.825079546221966
"LBXPFSA","Perfluorooctane sulfonamide","LBXGLU",0.0207163750019684,0.0339489609479655,0.564097342924888,0.76180751777884
"LBXPFUA","Perfluoroundecanoic acid","LBXGLU",-0.0391164228035268,0.0231199600360467,0.141616150062911,0.392550029998947
"LBXPFDO","Perfluorododecanoic acid","LBXGLU",-0.152443340296946,0.0552632007491991,0.0329194386945174,0.173375710457792
"URXMBP","Mono-n-butyl phthalate","LBXGLU",0.0433871431230055,0.0236124357390471,0.0803329895893592,0.282058052335972
"URXMCP","Mono-cyclohexyl phthalate","LBXGLU",0.00309301946511784,0.0253896746784473,0.904198257439106,0.978515922434101
"URXMEP","Mono-ethyl phthalate","LBXGLU",0.0199130611588189,0.0369031086764387,0.595146212095707,0.784498794307822
"URXMHP","Mono-(2-ethyl)-hexyl phthalate","LBXGLU",0.0556535187290899,0.0235327181617722,0.0277377573816022,0.156520202367613
"URXMNP","Mono-isononyl phthalate","LBXGLU",-0.0204202541097176,0.0215390586850313,0.353883614681032,0.621262345773367
"URXMOP","Mono-n-octyl phthalate","LBXGLU",-0.026049139233202,0.0166622211171309,0.132911785120217,0.392550029998947
"URXMZP","Mono-benzyl phthalate","LBXGLU",0.0236005976063722,0.0257570739374503,0.369924981127122,0.635305945848753
"URXMNM","Mono-n-methyl phthalate","LBXGLU",-0.0143436563223601,0.033318618421059,0.679776294020556,0.833581170280486
"URXMC1","Mono-(3-carboxypropyl) phthalate","LBXGLU",0.046992936268351,0.0281205319478529,0.13862048382058,0.392550029998947
"URXMHH","Mono-(2-ethyl-5-hydroxyhexyl) phthalate","LBXGLU",0.0563295550942318,0.0300253214105796,0.102757752661757,0.335890492461197
"URXMOH","Mono-(2-ethyl-5-oxohexl) phthalate","LBXGLU",0.0589645919091589,0.0310437624800317,0.0992932616399578,0.333794368917305
"URXMIB","Mono-isobutyl phthalate","LBXGLU",-0.0182021515241276,0.0439466581154461,0.691133755105973,0.833581170280486
"LBX028","PCB28 (ng/g)","LBXGLU",0.0139045086464739,0.0295286009633916,0.654356335003379,0.825079546221966
"LBX066","PCB66 (ng/g)","LBXGLU",0.107927484205467,0.0585820917986656,0.0795928227094856,0.282058052335972
"LBX074","PCB74 (ng/g)","LBXGLU",0.143697134978441,0.0565929217813808,0.0190892077892391,0.143623563366656
"LBX105","PCB105 (ng/g)","LBXGLU",0.0563935712308619,0.0285384511923535,0.0614327261742152,0.264466991918532
"LBX118","PCB118 (ng/g)","LBXGLU",0.192616586128049,0.039488564884939,8.00303613670701e-05,0.00632239854799853
"LBX156","PCB156 (ng/g)","LBXGLU",0.0385556993886534,0.044764115925529,0.398796470203214,0.66326149781166
"LBX157","PCB157 (ng/g)","LBXGLU",-0.00419800234490141,0.0238671308283183,0.862065015576868,0.961691227817576
"LBX167","PCB167 (ng/g)","LBXGLU",0.0272100325668419,0.0292830066228021,0.363339508760498,0.630853213012734
"LBX189","PCB189 (ng/g)","LBXGLU",0.0387654081739203,0.0520718342739662,0.480837950131987,0.718628231519353
"LBXD01","1,2,3,7,8-pncdd (fg/g)","LBXGLU",0.0210880052870086,0.0462645309073347,0.653202384739937,0.825079546221966
"LBXD02","1,2,3,4,7,8-hxcdd (fg/g)","LBXGLU",0.0520131202769572,0.0462635690787638,0.297965261777732,0.572006617887669
"LBXD03","1,2,3,6,7,8-hxcdd (fg/g)","LBXGLU",0.059081187786292,0.0380594732456136,0.1355225811847,0.392550029998947
"LBXD04","1,2,3,7,8,9-hxcdd (fg/g)","LBXGLU",0.0781920809037355,0.0410842908103449,0.0708111516894561,0.282058052335972
"LBXD05","1,2,3,4,6,7,8-hpcdd (fg/g)","LBXGLU",0.0861423036965761,0.035711701023469,0.0250900577352571,0.156520202367613
"LBXD07","1,2,3,4,6,7,8,9-ocdd (fg/g)","LBXGLU",0.0686406815769843,0.0466056883199203,0.155636829130607,0.403124901682557
"LBXF01","2,3,7,8-tcdf (fg/g)","LBXGLU",-0.0214269641202892,0.0302053829901097,0.485893547519082,0.718628231519353
"LBXF02","1,2,3,7,8-pncdf (fg/g)","LBXGLU",-0.00550227207785161,0.0374404778309861,0.884564928819499,0.963870750024006
"LBXF03","2,3,4,7,8-pncdf (fg/g)","LBXGLU",0.0839499828418153,0.0296701565686287,0.0100432263255609,0.0991768599649142
"LBXF04","1,2,3,4,7,8-hxcdf (fg/g)","LBXGLU",0.102950971872316,0.0357244973460668,0.00892473075378991,0.0940071639399204
"LBXF05","1,2,3,6,7,8-hxcdf (fg/g)","LBXGLU",0.099570348330261,0.035901170444541,0.0113866166219087,0.105828554485975
"LBXF06","1,2,3,7,8,9-hxcdf (fg/g)","LBXGLU",0.0236258293274997,0.0377657319690316,0.538324542948839,0.752701573326696
"LBXF07","2,3,4,6,7,8-hxcdf (fg/g)","LBXGLU",0.0493944505030362,0.037977566464045,0.207480418188179,0.468312943910462
"LBXF08","1,2,3,4,6,7,8-hpcdf (fg/g)","LBXGLU",0.0506338465532333,0.0272755841777986,0.0774857800799436,0.282058052335972
"LBXF09","1,2,3,4,7,8,9-hpcdf (fg/g)","LBXGLU",0.0911679309083671,0.0563910626959548,0.149974649172679,0.395603123826358
"LBXF10","1,2,3,4,6,7,8,9-ocdf (fg/g)","LBXGLU",0.0510608222546867,0.0377031689636061,0.190039930941098,0.463069387390473
"LBXPCB","3,3,4,4,5-pncb (fg/g)","LBXGLU",0.11675439448443,0.0333273507632247,0.00211601089875772,0.0397821466829081
"LBXTC2","3,4,4,5-tcb (fg/g)","LBXGLU",-0.0476497411400098,0.0302055016346442,0.129622076708392,0.392550029998947
"LBXHXC","3,3,4,4,5,5-hxcb (fg/g)","LBXGLU",0.0711036302016614,0.0360577705066401,0.0619321436771245,0.264466991918532
"LBXTCD","2,3,7,8-tcdd (fg/g)","LBXGLU",0.0235463262634092,0.0443184405829071,0.600787051337003,0.784498794307822
"LBX052","PCB52 (ng/g)","LBXGLU",0.03541433071378,0.0208494491939195,0.104168570446827,0.335890492461197
"LBX087","PCB87 (ng/g)","LBXGLU",0.0334529621925433,0.0458577027815587,0.48938366782137,0.718628231519353
"LBX099","PCB99 (ng/g)","LBXGLU",0.108589943463577,0.0452255821020823,0.0256897543739437,0.156520202367613
"LBX101","PCB101 (ng/g)","LBXGLU",-0.0159780311501118,0.0299983537392733,0.599880869634884,0.784498794307822
"LBX110","PCB110 (ng/g)","LBXGLU",0.0224734531888974,0.0372232481033502,0.565055171289593,0.76180751777884
"LBX128","PCB128 (ng/g)","LBXGLU",0.0289234044719396,0.0281947082895031,0.316636836006399,0.582650915884341
"LBX138","PCB138 & 158 (ng/g)","LBXGLU",0.100341602532026,0.0388499736227193,0.0173570496659718,0.140578962677197
"LBX146","PCB146 (ng/g)","LBXGLU",0.0743251121833628,0.0424456710390684,0.0945300204817035,0.324690070350199
"LBX149","PCB149 (ng/g)","LBXGLU",0.0341394486824747,0.0421383587342775,0.444504986105782,0.70941199802741
"LBX151","PCB151 (ng/g)","LBXGLU",0.0299277620160339,0.0342201053010401,0.410809558852089,0.676124065610729
"LBX153","PCB153 (ng/g)","LBXGLU",0.0838551769459532,0.0395312766788208,0.045970880178016,0.213629384356663
"LBX170","PCB170 (ng/g)","LBXGLU",0.122595319463633,0.0556015486429821,0.0387480520180219,0.185520976328711
"LBX172","PCB172 (ng/g)","LBXGLU",0.0357640783736988,0.0331654745977529,0.293107654609824,0.57174085714015
"LBX177","PCB177 (ng/g)","LBXGLU",0.0547733368832463,0.0427540328545791,0.214116528234677,0.476484668465901
"LBX178","PCB178 (ng/g)","LBXGLU",0.0109394328905006,0.0306884879489802,0.725047426896455,0.861334537215338
"LBX180","PCB180 (ng/g)","LBXGLU",0.0575616812616167,0.0385463275951648,0.15022903436444,0.395603123826358
"LBX183","PCB183 (ng/g)","LBXGLU",0.0635662584262322,0.0336356703651766,0.0726624484491992,0.282058052335972
"LBX187","PCB187 (ng/g)","LBXGLU",0.0981683313066867,0.0402171441696428,0.0235923549547568,0.156520202367613
"LBX194","PCB194 (ng/g)","LBXGLU",-0.0800492258990989,0.0657614576855469,0.262942638120544,0.525885276241088
"LBX195","PCB195 (ng/g)","LBXGLU",0.0405558009220744,0.0581618422689479,0.508109747417621,0.723255316144
"LBX196","PCB196 & 203 (ng/g)","LBXGLU",-0.106337484392075,0.0516932417339178,0.0787028114050427,0.282058052335972
"LBD199","PCB199 (ng/g)","LBXGLU",-0.0970880307113456,0.0455609214889859,0.0705711640870696,0.282058052335972
"LBX206","PCB206 (ng/g)","LBXGLU",0.00203961806412244,0.0357523459669886,0.956100834248386,0.982685931110243
"LBXHCB","Hexachlorobenzene (ng/g)","LBXGLU",-0.0387551410447946,0.0258908105182844,0.149307254630925,0.395603123826358
"LBXBHC","Beta-hexachlorocyclohexane (ng/g)","LBXGLU",0.177313264650408,0.0415263528207648,0.000340762092446018,0.0134601026516177
"LBXGHC","Gamma-hexachlorocyclohexane (ng/g)","LBXGLU",0.000577581280329644,0.0300667919366588,0.984854979244683,0.991127940895923
"LBXPDE","p,p-DDE (ng/g)","LBXGLU",0.14124034282027,0.0370170780880537,0.0010089293851171,0.0265684738080836
"LBXPDT","p,p-DDT (ng/g)","LBXGLU",0.151341831068604,0.0328896489829874,0.000154336341186868,0.0081283806358417
"LBXODT","o,p-DDT (ng/g)","LBXGLU",-0.00464676340792307,0.0310607507026719,0.882505776091495,0.963870750024006
"LBXOXY","Oxychlordane (ng/g)","LBXGLU",0.134810439605344,0.0582929563519859,0.0309707987493703,0.16873745525519
"LBXTNA","Trans-nonachlor (ng/g)","LBXGLU",0.109038731235005,0.0544790823017253,0.0584289300764662,0.26376488434519
"LBXHPE","Heptachlor Epoxide (ng/g)","LBXGLU",0.161027296542763,0.049869446380262,0.00402342565606054,0.0489000964351973
"LBXMIR","Mirex (ng/g)","LBXGLU",0.0206324547717454,0.034056094546503,0.551115418072976,0.760252533396394
"LBXALD","Aldrin (ng/g)","LBXGLU",0.0344834458642451,0.0412822123813895,0.431126566209157,0.702247396505637
"LBXDIE","Dieldrin (ng/g)","LBXGLU",0.209368784557019,0.0753977569982015,0.027422025545007,0.156520202367613
"LBXEND","Endrin (ng/g)","LBXGLU",0.0298331715517775,0.0365226092057988,0.440928779962775,0.70941199802741
"URXP01","1-napthol (ng/L)","LBXGLU",-0.00959900052428802,0.0349552194013753,0.791544945891744,0.919588981256585
"URXP02","2-napthol (ng/L)","LBXGLU",-0.0024476116953894,0.0354443332119189,0.946877006234194,0.982685931110243
"URXP03","3-fluorene (ng/L)","LBXGLU",2.19160907113015e-05,0.0207423858947025,0.999166940286297,0.999166940286297
"URXP04","2-fluorene (ng/L)","LBXGLU",0.0236552415058937,0.0200337781466321,0.250896294006161,0.514826161726929
"URXP05","3-phenanthrene (ng/L)","LBXGLU",0.0142728848292002,0.0192639624356714,0.466951961954182,0.716295242609328
"URXP06","1-phenanthrene (ng/L)","LBXGLU",0.0248952032303649,0.0214777066469547,0.259418938289524,0.525489644227497
"URXP07","2-phenanthrene (ng/L)","LBXGLU",0.043761852325535,0.0193688377407953,0.034614749932125,0.176423564170186
"URXP08","1-benzo[c] phenanthrene (ng/L)","LBXGLU",-0.011660216114909,0.0162614911807085,0.481246525156584,0.718628231519353
"URXP10","1-pyrene (ng/L)","LBXGLU",0.02542132870325,0.0211544507727701,0.242856605083026,0.504886100041028
"URXP11","2-benzo[c] phenanthrene (ng/L)","LBXGLU",-0.017797966646843,0.0187042037011956,0.352150135165482,0.621262345773367
"URXP12","1-benzo[a] anthracene (ng/L)","LBXGLU",0.0447398610377925,0.0288179190395283,0.135483706801951,0.392550029998947
"URXP13","6-chrysene (ng/L)","LBXGLU",0.0336277542798005,0.0272676289879371,0.231109898620231,0.493450864621574
"URXP14","3-benzo[c] phenanthrene (ng/L)","LBXGLU",-0.0321118136186875,0.032704058660645,0.337331445568995,0.608081281699581
"URXP15","3-chrysene (ng/L)","LBXGLU",0.0010189834267849,0.0190322238961179,0.957807806272009,0.982685931110243
"URXP16","3-benz[a] anthracene (ng/L)","LBXGLU",0.00514314126469062,0.0275634214889421,0.853770586110028,0.961691227817576
"URXP17","9-fluorene (ng/L)","LBXGLU",0.0494428618258441,0.0341127097189914,0.190503228989752,0.463069387390473
"URXP19","4-phenanthrene (ng/L)","LBXGLU",-0.00255235979177814,0.0329820538731325,0.940481738820953,0.982685931110243
"URXP20","1-chrysene (ng/L)","LBXGLU",0.0312466472799464,0.0394385265100462,0.454201266142798,0.710532673767941
"URXP21","2-chrysene (ng/L)","LBXGLU",-0.000841414946735171,0.0257590316361105,0.974853733266982,0.987788293860347
"URXP22","4-chrysene (ng/L)","LBXGLU",-0.0183571907599196,0.0366600495977053,0.631911383746976,0.811723566114001
"URXP24","3-benzo(a) pyrene (ng/L)","LBXGLU",0.0186547738590542,0.0272612063530243,0.515795490639385,0.72764006715199
"LBXSEL","Selenium(ug/L)","LBXGLU",NA,NA,NA,NA
"LBXIRN","Iron, Frozen Serum (ug/dL)","LBXGLU",-0.053012692557933,0.0154465432741273,0.00250259798776797,0.0397821466829081
"LBXVIE","a-Tocopherol(ug/dL)","LBXGLU",0.00695616268699155,0.0192696326253893,0.721712366997058,0.861334537215338
"LBXALC","a-Carotene(ug/dL)","LBXGLU",-0.082731155794068,0.0251936301113407,0.0134163887008221,0.117766078596105
"LBXBEC","trans-b-carotene(ug/dL)","LBXGLU",-0.108027789747054,0.0199997378449929,0.00100690595335651,0.0265684738080836
"LBXCBC","cis-b-carotene(ug/dL)","LBXGLU",-0.0913486010675255,0.0175195481338775,0.00123376703074457,0.0278478844082346
"LBXCRY","b-cryptoxanthin(ug/dL)","LBXGLU",-0.0887355280988046,0.0193381298055241,0.00251785738499418,0.0397821466829081
"LBXGTC","g-tocopherol(ug/dL)","LBXGLU",0.154457923361506,0.0157766776835475,2.80449714960271e-09,4.43110549637228e-07
"LBXLUZ","Combined Lutein/zeaxanthin (ug/dL)","LBXGLU",-0.0840833206521213,0.0191436938131566,0.00318679728725098,0.0457739973986959
"LBXLYC","trans-lycopene(ug/dL)","LBXGLU",-0.0420055702722588,0.0136345302146317,0.0177948054021769,0.140578962677197
"LBXRPL","Retinyl palmitate(ug/dL)","LBXGLU",0.00745127582501284,0.0184617998379364,0.690583425694023,0.833581170280486
"LBXRST","Retinyl stearate(ug/dL)","LBXGLU",0.0275843279218344,0.020987687269488,0.202917339107673,0.466278254513564
"LBXVIA","Retinol(ug/dL)","LBXGLU",-0.0126238123130722,0.0170110260467064,0.466249025719346,0.716295242609328
"URX14D","2,5-dichlorophenol (ug/L) result","LBXGLU",-0.00344309721944045,0.0410227341388798,0.933905905112727,0.982685931110243
"URX1TB","2,4,5-trichlorophenol (ug/L) result","LBXGLU",-0.0358101159371437,0.0162291661637344,0.0386175440359352,0.185520976328711
"URX3TB","2,4,6-trichlorophenol (ug/L) result","LBXGLU",0.0132945021175427,0.0271474876849198,0.629413043766109,0.811723566114001
"URXCBF","Carbofuranphenol (ug/L) result","LBXGLU",-0.00486954782573747,0.028146993150835,0.864304774367695,0.961691227817576
"URXPCP","Pentachlorophenol (ug/L) result","LBXGLU",0.0108079073538679,0.0327620665360526,0.744750534523562,0.878138689960618
"URXPPX","2-isopropoxyphenol (ug/L) result","LBXGLU",-0.019512054098294,0.0285158480216611,0.501297554507576,0.7200455782927
"URXOPP","O-Phenyl phenol (ug/L) result","LBXGLU",-0.0356983429807768,0.0268449922255454,0.197850157188425,0.466278254513564
"URXDPY","diethylaminomethylpyrimidinol/one (ug/L)","LBXGLU",0.0168640589073398,0.0156565566300514,0.317139106114261,0.582650915884341
"URXMET","Metolachlor mercapturate (ug/L) result","LBXGLU",-0.00469532615415862,0.0150198299860297,0.763685304853706,0.893794653088041
"URXTCC","dichlorovnl-dimeth prop carboacid (ug/L)","LBXGLU",-0.00515080096382385,0.024875527170746,0.837955302655923,0.952495955536949
"LBXSPH","Phosphorus (mg/dL)","LBXGLU",0.0318390639575431,0.0222172277878547,0.166555572576746,0.424448072050417
"URXDAZ","Daidzein (ng/mL)","LBXGLU",0.0411961217013356,0.0269258332832112,0.140945560556342,0.392550029998947
"URXDMA","o-Desmethylangolensin (O-DMA) (ng/mL)","LBXGLU",0.0322656339787646,0.0267580776681126,0.241294895485759,0.504886100041028
"URXEQU","Equol (ng/mL)","LBXGLU",0.0162094052858153,0.0165554815316535,0.338678182212425,0.608081281699581
"URXETD","Enterodiol (ng/mL)","LBXGLU",0.0154797163042205,0.0267489656955558,0.56894485505002,0.76180751777884
"URXETL","Enterolactone (ng/mL)","LBXGLU",0.00851987859429566,0.0198647641151294,0.672367989523163,0.833581170280486
"URXGNS","Genistein (ng/mL)","LBXGLU",0.0118125633616727,0.0169426395220916,0.493318983210614,0.718628231519353
